IDINDEX,LATITUDE,LONGITUDE,MASL,SECONDS,STEPLENGTH,DATETIME,TrailRank
1500136,-15.20762,-72.94938,2512.346,3,4.438852,2007/07/15 12:08:22+00,0
1500137,-15.20761,-72.94942,2514.62,3,3.408716,2007/07/15 12:08:25+00,0
1500138,-15.2076,-72.94945,2516.589,3,3.085293,2007/07/15 12:08:28+00,0
1500139,-15.20758,-72.94947,2518.926,3,1.074647,2007/07/15 12:08:31+00,0
1500140,-15.20758,-72.94948,2519.886,3,1.542648,2007/07/15 12:08:34+00,0
1500141,-15.20757,-72.94949,2520.67,3,0,2007/07/15 12:08:37+00,0
1500142,-15.20757,-72.94949,2521.2,3,1.074647,2007/07/15 12:08:40+00,0
1500143,-15.20757,-72.9495,2521.555,3,3.085293,2007/07/15 12:08:43+00,0
1500144,-15.20755,-72.94952,2522.172,3,4.438878,2007/07/15 12:08:46+00,0
1500145,-15.20754,-72.94956,2522.67,3,3.085293,2007/07/15 12:08:49+00,0
1500146,-15.20752,-72.94958,2522.561,3,3.910759,2007/07/15 12:08:52+00,0
1500147,-15.2075,-72.94961,2523.662,3,2.417554,2007/07/15 12:08:55+00,0
1500148,-15.20749,-72.94963,2524.797,3,2.213497,2007/07/15 12:08:58+00,0
1500149,-15.20747,-72.94963,2525.687,3,2.460488,2007/07/15 12:09:01+00,0
1500150,-15.20745,-72.94964,2526.505,3,1.074647,2007/07/15 12:09:04+00,0
1500151,-15.20745,-72.94965,2527.354,3,1.542717,2007/07/15 12:09:07+00,0
1500152,-15.20744,-72.94966,2528.174,3,1.542648,2007/07/15 12:09:10+00,0
1500153,-15.20743,-72.94967,2528.902,3,0,2007/07/15 12:09:13+00,0
1500154,-15.20743,-72.94967,2529.432,3,1.542644,2007/07/15 12:09:16+00,0
1500155,-15.20742,-72.94968,2529.802,3,1.074647,2007/07/15 12:09:19+00,0
1500156,-15.20742,-72.94969,2530.175,3,1.106748,2007/07/15 12:09:22+00,0
1500157,-15.20741,-72.94969,2530.491,3,0,2007/07/15 12:09:25+00,0
1500158,-15.20741,-72.94969,2530.696,3,2.460578,2007/07/15 12:09:28+00,0
1500159,-15.20739,-72.9497,2530.9,3,1.542644,2007/07/15 12:09:31+00,0
1500160,-15.20738,-72.94971,2531.091,3,1.542648,2007/07/15 12:09:34+00,0
1500161,-15.20737,-72.94972,2531.225,3,2.460621,2007/07/15 12:09:37+00,0
1500162,-15.20735,-72.94973,2531.233,3,1.542575,2007/07/15 12:09:40+00,0
1500163,-15.20734,-72.94974,2531.114,3,1.542648,2007/07/15 12:09:43+00,0
1500164,-15.20733,-72.94975,2530.974,3,2.460621,2007/07/15 12:09:46+00,0
1500165,-15.20731,-72.94976,2530.864,3,2.213397,2007/07/15 12:09:49+00,0
1500166,-15.20729,-72.94976,2530.743,3,2.460578,2007/07/15 12:09:52+00,0
1500167,-15.20727,-72.94977,2530.651,3,6.170586,2007/07/15 12:09:55+00,0
1500168,-15.20723,-72.94981,2531.394,3,3.48983,2007/07/15 12:09:58+00,0
1500169,-15.2072,-72.94982,2531.737,3,2.417554,2007/07/15 12:10:01+00,0
1500170,-15.20719,-72.94984,2531.712,3,1.106748,2007/07/15 12:10:04+00,0
1500171,-15.20718,-72.94984,2531.685,3,0,2007/07/15 12:10:07+00,0
1500172,-15.20718,-72.94984,2531.679,3,0,2007/07/15 12:10:10+00,0
1500173,-15.20718,-72.94984,2531.655,3,0,2007/07/15 12:10:13+00,0
1500174,-15.20718,-72.94984,2531.668,3,0,2007/07/15 12:10:16+00,0
1500175,-15.20718,-72.94984,2531.667,3,2.213497,2007/07/15 12:10:19+00,0
1500176,-15.20716,-72.94984,2531.554,3,3.489764,2007/07/15 12:10:22+00,0
1500177,-15.20713,-72.94985,2531.36,3,3.955159,2007/07/15 12:10:25+00,0
1500178,-15.2071,-72.94987,2531.778,3,2.460578,2007/07/15 12:10:28+00,0
1500179,-15.20708,-72.94988,2532.269,3,3.489764,2007/07/15 12:10:31+00,0
1500180,-15.20705,-72.94989,2532.894,3,3.489734,2007/07/15 12:10:34+00,0
1500181,-15.20702,-72.9499,2533.108,3,2.460621,2007/07/15 12:10:37+00,0
1500182,-15.207,-72.94991,2532.572,3,3.085293,2007/07/15 12:10:40+00,0
1500183,-15.20698,-72.94993,2531.684,3,3.085296,2007/07/15 12:10:43+00,0
1500184,-15.20696,-72.94995,2531.897,3,2.46053,2007/07/15 12:10:46+00,0
1500185,-15.20694,-72.94996,2531.969,3,0,2007/07/15 12:10:49+00,0
1500186,-15.20694,-72.94996,2532.045,3,0,2007/07/15 12:10:52+00,0
1500187,-15.20694,-72.94996,2532.109,3,1.542648,2007/07/15 12:10:55+00,0
1500188,-15.20693,-72.94997,2532.161,3,1.542717,2007/07/15 12:10:58+00,0
1500189,-15.20692,-72.94998,2532.212,3,0,2007/07/15 12:11:01+00,0
1500190,-15.20692,-72.94998,2532.235,3,1.106648,2007/07/15 12:11:04+00,0
1500191,-15.20691,-72.94998,2532.202,3,1.074647,2007/07/15 12:11:07+00,0
1500192,-15.20691,-72.94999,2532.159,3,2.460578,2007/07/15 12:11:10+00,0
1500193,-15.20689,-72.95,2532.177,3,2.417554,2007/07/15 12:11:13+00,0
1500194,-15.20688,-72.95002,2532.207,3,1.106748,2007/07/15 12:11:16+00,0
1500195,-15.20687,-72.95002,2532.292,3,1.542717,2007/07/15 12:11:19+00,0
1500196,-15.20686,-72.95003,2532.348,3,1.542575,2007/07/15 12:11:22+00,0
1500197,-15.20685,-72.95004,2532.372,3,1.106748,2007/07/15 12:11:25+00,0
1500198,-15.20684,-72.95004,2532.397,3,1.542717,2007/07/15 12:11:28+00,0
1500199,-15.20683,-72.95005,2532.347,3,0,2007/07/15 12:11:31+00,0
1500200,-15.20683,-72.95005,2532.344,3,1.542648,2007/07/15 12:11:34+00,0
1500201,-15.20682,-72.95006,2532.349,3,2.213397,2007/07/15 12:11:37+00,0
1500202,-15.2068,-72.95006,2532.358,3,0,2007/07/15 12:11:40+00,0
1500203,-15.2068,-72.95006,2532.37,3,2.417601,2007/07/15 12:11:43+00,0
1500204,-15.20679,-72.95008,2532.39,3,0,2007/07/15 12:11:46+00,0
1500205,-15.20679,-72.95008,2532.352,3,1.542648,2007/07/15 12:11:49+00,0
1500206,-15.20678,-72.95009,2532.343,3,1.074746,2007/07/15 12:11:52+00,0
1500207,-15.20678,-72.9501,2532.328,3,1.106748,2007/07/15 12:11:55+00,0
1500208,-15.20677,-72.9501,2532.301,3,1.542648,2007/07/15 12:11:58+00,0
1500209,-15.20676,-72.95011,2532.246,3,1.074747,2007/07/15 12:12:01+00,0
1500210,-15.20676,-72.95012,2532.171,3,1.106748,2007/07/15 12:12:04+00,0
1500211,-15.20675,-72.95012,2532.114,3,0,2007/07/15 12:12:07+00,0
1500212,-15.20675,-72.95012,2532.097,3,1.542575,2007/07/15 12:12:10+00,0
1500213,-15.20674,-72.95013,2532.068,3,2.417601,2007/07/15 12:12:13+00,0
1500214,-15.20673,-72.95015,2532.044,3,1.106748,2007/07/15 12:12:16+00,0
1500215,-15.20672,-72.95015,2532.032,3,1.542575,2007/07/15 12:12:19+00,0
1500216,-15.20671,-72.95016,2531.985,3,1.106748,2007/07/15 12:12:22+00,0
1500217,-15.2067,-72.95016,2531.949,3,1.106748,2007/07/15 12:12:25+00,0
1500218,-15.20669,-72.95016,2531.934,3,0,2007/07/15 12:12:28+00,0
1500219,-15.20669,-72.95016,2531.905,3,1.106747,2007/07/15 12:12:31+00,0
1500220,-15.20668,-72.95016,2531.87,3,1.542575,2007/07/15 12:12:34+00,0
1500221,-15.20667,-72.95017,2531.875,3,1.106748,2007/07/15 12:12:37+00,0
1500222,-15.20666,-72.95017,2531.879,3,1.542717,2007/07/15 12:12:40+00,0
1500223,-15.20665,-72.95018,2531.927,3,1.542648,2007/07/15 12:12:43+00,0
1500224,-15.20664,-72.95019,2531.912,3,1.542575,2007/07/15 12:12:46+00,0
1500225,-15.20663,-72.9502,2531.872,3,1.542717,2007/07/15 12:12:49+00,0
1500226,-15.20662,-72.95021,2531.846,3,0,2007/07/15 12:12:52+00,0
1500227,-15.20662,-72.95021,2531.81,3,1.542648,2007/07/15 12:12:55+00,0
1500228,-15.20661,-72.95022,2531.735,3,2.46053,2007/07/15 12:12:58+00,0
1500229,-15.20659,-72.95023,2531.701,3,1.542648,2007/07/15 12:13:01+00,0
1500230,-15.20658,-72.95024,2531.685,3,1.542644,2007/07/15 12:13:04+00,0
1500231,-15.20657,-72.95025,2531.649,3,1.074647,2007/07/15 12:13:07+00,0
1500232,-15.20657,-72.95026,2531.622,3,1.106748,2007/07/15 12:13:10+00,0
1500233,-15.20656,-72.95026,2531.582,3,0,2007/07/15 12:13:13+00,0
